H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro
580.92,-0.012282103,1488.412844,1902.083168,1497.508089,6.189665988,-0.016577962,0.021198351,-0.06568221,0.00328145,0.007650806,-0.009875952,0.015935991,0.000593336,-1.003282011,-2.095289373,7.650451371,-2.026304242,0.17189774,945.0926077
580.92,-0.135913981,1494.461005,1898.226786,1497.719858,6.742608546,0.002569064,0.017716787,-0.102361427,-0.008845872,-0.00192186,0.008498407,0.028770008,-8.11E-05,-0.992002206,-1.950716122,6.551325285,-0.428045533,0.273394321,945.2202447
580.92,-0.054946119,1494.085588,1902.262823,1497.797607,6.093331534,0.012993952,0.018845394,-0.149867799,0.000217586,0.006054876,0.002123489,0.012175314,0.002414822,-1.022004368,-0.221304983,7.400889024,-0.917606012,0.141452615,945.5667172
580.92,-0.155442159,1497.721455,1896.860747,1497.18905,6.401525965,0.0011636,0.018450938,-0.04573275,0.009710578,-0.000913221,-0.000590184,0.018617836,-0.000506377,-1.009757757,1.248896238,5.928921364,-1.069353249,0.20651395,945.375062
580.92,-0.146492678,1488.207502,1898.900817,1495.665804,6.135240247,-0.002674977,0.030408886,-0.086854315,-0.027903449,0.002221392,-0.003783643,0.03146447,0.001831115,-0.969001721,-0.873632942,6.393059711,-1.394975631,-0.066028304,945.163271
580.92,-0.573564121,1491.11335,1900.842551,1497.407719,5.639607692,-0.042604626,0.011174287,-0.133210353,0.015243615,0.002351808,-0.000471682,0.028219996,8.06E-05,-0.987869923,-2.929911128,6.247235618,-2.073709325,0.147333072,945.3319637
580.92,-0.25649472,1492.715114,1896.795258,1497.991423,5.758008694,-0.020729257,0.018935498,-0.092196642,-0.024858595,-0.005699588,0.00279413,0.009797875,0.000956204,-1.005862128,1.480134899,5.848711463,-1.229533214,0.037718049,945.1580065
580.92,0.239626996,1490.774815,1901.111652,1497.436394,6.202720466,-0.002169747,0.028411967,-0.212229857,0.015361895,0.001217291,0.006403376,0.024389669,-0.000273287,-0.98996658,1.316662411,5.761676687,0.549351017,-0.32274037,945.4226807
580.92,0.038431149,1501.158335,1898.530372,1494.645743,6.670973453,-0.008401454,0.021479708,-0.110379922,0.040822892,0.002599511,0.002607501,0.003817575,0.000981824,-1.004663914,0.464310179,6.653200761,-0.81684553,0.084862631,945.5494582
580.92,-0.156242908,1493.222983,1901.500131,1498.986839,6.893924943,0.0008669,0.019435144,-0.157344961,0.015158303,-0.000181282,0.004781101,0.021889691,0.000899389,-1.002613281,-2.086243378,5.41547102,-0.855334037,0.011691344,945.3049306
580.92,0.043057193,1493.791288,1896.822977,1497.931488,6.389523516,-0.016909575,0.028683023,-0.150868807,0.025164706,0.013028094,0.010841569,0.021404997,-0.000160367,-1.019649904,-2.439719071,6.668251736,-1.925930084,0.121569003,945.2950891
580.92,-0.19588935,1493.518171,1893.331418,1495.996542,6.578833588,-0.008062312,0.02708981,-0.127262108,0.014729238,-0.002157412,0.00217017,0.02684976,-0.000785568,-1.011448378,2.246849269,5.850815631,-0.00345104,0.152865565,945.2952456
580.92,0.171088189,1493.45778,1895.589345,1497.44554,6.541610456,0.020776884,0.025877374,-0.162187925,-0.017612919,0.003783129,0.006152724,0.016041527,-0.001136618,-1.00194891,0.435919919,7.817012154,-0.904909029,0.107119151,945.6096042
580.92,0.223235932,1490.256207,1900.285313,1499.394352,6.812712637,-0.008676296,0.020182422,-0.01780036,-0.017784722,0.001719262,0.007055029,0.007684304,-0.000541629,-1.002817882,0.420060237,5.650398361,-0.825472607,-0.081483894,945.3769993
580.92,-0.07129886,1492.770315,1902.780012,1494.551464,6.518973658,-0.009840198,0.017142833,-0.11037369,0.008262471,0.001186635,0.004565187,0.024234205,-0.002578716,-0.997077015,1.976884708,6.781006313,-1.713498434,0.426441849,945.5833875
580.92,0.076057262,1497.198415,1897.795375,1495.776221,5.708142047,-0.041388404,0.020713296,-0.035039516,-0.010224681,-0.006903438,0.0025587,0.018536134,-0.002864274,-1.005020577,-0.193920143,6.479173342,-1.08055363,-0.039740134,945.4083876
580.92,0.308439251,1493.003236,1901.786503,1495.281415,6.159958688,-0.011837082,0.013533164,-0.175524078,0.001918123,0.008788012,-0.005106553,0.032114629,0.000671601,-0.987631528,-0.55074309,5.823502902,-0.759890852,0.239318117,945.2375224
580.92,0.125210615,1491.668417,1905.536802,1498.651678,5.916028939,-0.013082324,0.014570193,-0.159413669,-0.006789154,0.009449346,0.002992482,0.011224636,0.000679352,-0.974981672,-1.446940112,6.947357503,-1.292666751,0.4200946,945.4492162
580.92,-0.310099726,1498.91016,1907.960145,1497.603325,6.379664698,-0.038055953,0.022134436,-0.076087921,0.021127258,0.002913496,0.000867415,0.011806399,0.001502272,-1.014718587,-2.401385306,6.347095758,-1.080319212,-0.061729634,945.2708213
580.92,-0.205090238,1493.369487,1897.496779,1495.761727,6.331737542,0.041157763,0.025891102,-0.10010699,-0.029147049,-0.000375495,1.63E-05,0.016299618,-0.000151308,-0.995556785,1.166587985,5.250331045,-0.268930051,-0.276791354,945.2514451
580.92,0.340871328,1490.364164,1900.619645,1500.073663,6.424333791,0.033095759,0.024094082,-0.050238518,0.00215566,0.001510464,0.003857444,0.01993884,-0.000817457,-0.99834258,-0.208884238,6.36828901,-1.42767123,0.27040632,945.5424353
580.92,0.244145182,1496.044069,1908.25563,1495.779806,5.991472577,0.001821147,0.018118772,-0.06928481,0.019075273,-7.82E-06,-0.002019372,0.018176014,0.001990641,-1.021468046,0.12027651,6.679836834,-0.684219522,0.05009509,945.1606609
580.92,-0.186352362,1492.626659,1903.638284,1495.599523,6.455458272,-0.016247598,0.007658446,-0.125042311,0.017331805,-0.003378427,-0.001571499,0.015739957,-0.000827459,-0.990110621,-0.088121318,6.437170183,-0.998673288,0.352102495,945.7156375
580.92,-0.118785653,1491.59625,1905.393327,1496.913768,6.424853457,0.005384461,0.013539822,-0.085827071,0.035022445,0.002316668,-0.004464709,0.014435819,-0.001620292,-0.997900428,0.528484071,7.253136687,-0.081584646,0.120641681,945.4135626
