H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias,Aileron_bias,Elevator_bias,Rudder_bias,IAS_bias,Roll_bias,Pitch_bias,Yaw_bias,p_bias,q_bias,r_bias,a_x_bias,a_y_bias,a_z_bias,H_IMU_bias,VE_IMU_bias,VN_IMU_bias,VU_IMU_bias,H_baro_bias
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851,581.5,-0.103301913,1491,1900,1496,6.276818752,0.000262591,0.008862434,-0.113674082,0.000101234,0.001505698,0.001597057,0.012,0,-0.994,-0.523,6.6,-0.81,0.09,945.3021851
