H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.001949965,0.019758599,-0.126037747,0.000368792,-0.002568598,-0.000744555,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.046,0.001,-0.997,1.911,27.88,-3.53,-0.54,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.046,0.001,-0.997,2.058,27.92,-3.54,-0.53,945.1932373,,,,,,,,,,,,
582.65,0.545358539,1500,1687,1500,27.03171539,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.046,0.001,-0.997,2.058,27.92,-3.54,-0.53,945.1932373,,,,,,,,,,,,
