H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001126438,0.000862433,-0.12292783,0.000291817,0.00024212,0.000298185,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
