H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001160928,-0.001402813,-0.133799031,-0.000285398,-0.000330232,-0.000698561,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.011305019,1504,1900,1502,0.022061704,-0.001161709,-0.001402672,-0.133827582,-0.00015934,-0.000287228,-0.000668776,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.011305019
584.09,-0.012582306,1504,1900,1502,0.022061704,-0.001161709,-0.001402672,-0.133827582,-0.00015934,-0.000287228,-0.000668776,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.012582306
584.09,-0.012582306,1504,1900,1502,0.022061704,-0.001161709,-0.001402672,-0.133827582,-0.00015934,-0.000287228,-0.000668776,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.012582306
584.09,-0.012582306,1504,1900,1502,0.022061704,-0.001161709,-0.001402672,-0.133827582,-0.00015934,-0.000287228,-0.000668776,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.012582306
584.09,-0.012582306,1504,1900,1502,0.022061704,-0.001161709,-0.001402672,-0.133827582,-0.00015934,-0.000287228,-0.000668776,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.012582306
584.09,-0.012582306,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.012582306
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.06,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.0387573,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.03125,584.09,-0.013100043
584.09,-0.013100043,1504,1900,1502,0.022061704,-0.00116252,-0.001407096,-0.133845061,-0.000200445,-0.00030538,-0.000721936,0,0,-1.001,-0.073,0.01,-0.02,0.01,945.03125,584.09,-0.013100043
